key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
BOOKKEEPER-635,2013-06-26,2013-07-20,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-641,2013-07-02,2013-07-03,4.2.1,4.2.2,4.2.2,4.2.1,1
BOOKKEEPER-642,2013-07-05,2013-07-24,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-646,2013-07-08,2013-07-20,4.2.1,4.2.2,4.2.2,4.2.1,1
BOOKKEEPER-649,2013-07-16,2013-08-22,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-652,2013-07-20,2013-07-20,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-654,2013-07-21,2014-02-21,4.2.0,4.2.2,4.2.3,4.2.0;4.2.1;4.2.2;4.3.0,1
BOOKKEEPER-663,2013-07-26,2013-07-29,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-664,2013-07-29,2013-10-22,4.2.1,4.2.2,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-667,2013-08-06,2013-08-13,4.2.1,4.2.2,4.2.2,4.2.1,1
BOOKKEEPER-668,2013-08-06,2013-08-20,4.2.1,4.2.2,4.2.2,4.2.1;4.3.0,1
BOOKKEEPER-673,2013-08-21,2013-10-14,4.2.1,4.2.2,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-676,2013-08-23,2013-10-14,4.2.1,4.2.2,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-678,2013-09-01,2013-11-22,4.2.1,4.2.2,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-683,2013-09-12,2013-09-27,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-686,2013-09-29,2013-10-02,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-688,2013-10-04,2014-03-04,4.2.0,4.2.2,4.2.3,4.2.0;4.2.1;4.2.2;4.3.0,1
BOOKKEEPER-698,2013-10-29,2013-10-30,4.2.1,4.3.0,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-700,2013-10-30,2013-10-30,4.2.1,4.3.0,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-708,2013-11-10,2014-02-02,4.2.1,4.3.0,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-709,2013-11-23,2014-01-03,4.2.1,4.3.0,4.3.0,4.2.1;4.2.2,1
