Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,18,RandomForest,none,SMOTE,none,0.000,0.000,0.804,-0.005,0.000,-0.006
SYNCOPE,18,NaiveBayes,none,SMOTE,none,0.023,0.714,0.882,0.038,0.044,0.116
SYNCOPE,18,IBk,none,SMOTE,none,0.022,0.357,0.782,0.036,0.041,0.078
SYNCOPE,18,RandomForest,none,none,SensitiveThreshold,0.037,0.071,0.879,0.045,0.049,0.047
SYNCOPE,18,NaiveBayes,none,none,SensitiveThreshold,0.026,0.571,0.893,0.044,0.050,0.112
SYNCOPE,18,IBk,none,none,SensitiveThreshold,0.047,0.214,0.673,0.072,0.077,0.095
SYNCOPE,19,RandomForest,none,none,none,1.000,0.368,0.756,0.537,0.538,0.606
SYNCOPE,19,NaiveBayes,none,none,none,0.026,0.368,0.807,0.041,0.048,0.084
SYNCOPE,19,IBk,none,none,none,0.235,0.211,0.706,0.219,0.222,0.220
SYNCOPE,19,RandomForest,BestFirst (backward),none,none,1.000,0.105,0.756,0.190,0.190,0.324
SYNCOPE,19,NaiveBayes,BestFirst (backward),none,none,0.021,0.211,0.803,0.031,0.038,0.055
SYNCOPE,19,IBk,BestFirst (backward),none,none,1.000,0.105,0.630,0.190,0.190,0.324
SYNCOPE,19,RandomForest,none,SMOTE,none,0.174,0.211,0.713,0.187,0.190,0.188
SYNCOPE,19,NaiveBayes,none,SMOTE,none,0.021,0.474,0.820,0.032,0.039,0.083
SYNCOPE,19,IBk,none,SMOTE,none,0.119,0.368,0.761,0.174,0.179,0.204
SYNCOPE,19,RandomForest,none,none,SensitiveThreshold,0.333,0.368,0.850,0.347,0.350,0.348
SYNCOPE,19,NaiveBayes,none,none,SensitiveThreshold,0.026,0.421,0.807,0.042,0.049,0.092
SYNCOPE,19,IBk,none,none,SensitiveThreshold,0.138,0.211,0.706,0.163,0.167,0.166
SYNCOPE,20,RandomForest,none,none,none,0.875,0.189,0.704,0.309,0.311,0.405
SYNCOPE,20,NaiveBayes,none,none,none,0.048,0.351,0.827,0.071,0.084,0.112
SYNCOPE,20,IBk,none,none,none,0.778,0.189,0.758,0.302,0.304,0.382
SYNCOPE,20,RandomForest,BestFirst (backward),none,none,0.750,0.081,0.534,0.145,0.146,0.245
SYNCOPE,20,NaiveBayes,BestFirst (backward),none,none,0.046,0.189,0.798,0.063,0.074,0.080
SYNCOPE,20,IBk,BestFirst (backward),none,none,0.500,0.081,0.591,0.138,0.140,0.199
SYNCOPE,20,RandomForest,none,SMOTE,none,0.875,0.189,0.647,0.309,0.311,0.405
SYNCOPE,20,NaiveBayes,none,SMOTE,none,0.033,0.405,0.825,0.047,0.060,0.093
SYNCOPE,20,IBk,none,SMOTE,none,0.296,0.216,0.765,0.245,0.250,0.248
SYNCOPE,20,RandomForest,none,none,SensitiveThreshold,0.750,0.243,0.644,0.365,0.367,0.425
SYNCOPE,20,NaiveBayes,none,none,SensitiveThreshold,0.047,0.405,0.827,0.072,0.085,0.120
SYNCOPE,20,IBk,none,none,SensitiveThreshold,0.714,0.270,0.758,0.390,0.392,0.437
SYNCOPE,21,RandomForest,none,none,none,0.000,0.000,0.467,-0.000,0.000,-0.001
SYNCOPE,21,NaiveBayes,none,none,none,0.023,0.353,0.838,0.036,0.043,0.078
SYNCOPE,21,IBk,none,none,none,0.000,0.000,0.635,-0.001,0.000,-0.001
SYNCOPE,21,RandomForest,BestFirst (backward),none,none,0.000,0.000,0.636,-0.001,0.000,-0.001
SYNCOPE,21,NaiveBayes,BestFirst (backward),none,none,0.029,0.294,0.806,0.047,0.053,0.083
SYNCOPE,21,IBk,BestFirst (backward),none,none,0.000,0.000,0.542,-0.001,0.000,-0.001
SYNCOPE,21,RandomForest,none,SMOTE,none,0.000,0.000,0.563,-0.002,0.000,-0.002
SYNCOPE,21,NaiveBayes,none,SMOTE,none,0.016,0.412,0.833,0.023,0.030,0.065
SYNCOPE,21,IBk,none,SMOTE,none,0.000,0.000,0.632,-0.004,0.000,-0.004
SYNCOPE,21,RandomForest,none,none,SensitiveThreshold,0.083,0.059,0.596,0.066,0.069,0.067
SYNCOPE,21,NaiveBayes,none,none,SensitiveThreshold,0.023,0.412,0.838,0.037,0.044,0.085
SYNCOPE,21,IBk,none,none,SensitiveThreshold,0.091,0.059,0.635,0.069,0.071,0.070
SYNCOPE,22,RandomForest,none,none,none,0.000,0.000,0.361,-0.000,0.000,-0.000
SYNCOPE,22,NaiveBayes,none,none,none,0.011,0.750,0.870,0.020,0.022,0.087
SYNCOPE,22,IBk,none,none,none,0.000,0.000,0.660,-0.001,0.000,-0.001
SYNCOPE,22,RandomForest,BestFirst (backward),none,none,0.000,0.000,0.368,-0.001,0.000,-0.001
SYNCOPE,22,NaiveBayes,BestFirst (backward),none,none,0.014,0.750,0.870,0.026,0.028,0.099
SYNCOPE,22,IBk,BestFirst (backward),none,none,0.000,0.000,0.307,-0.001,0.000,-0.001
SYNCOPE,22,RandomForest,none,SMOTE,none,0.000,0.000,0.625,-0.001,0.000,-0.001
SYNCOPE,22,NaiveBayes,none,SMOTE,none,0.006,0.750,0.849,0.011,0.012,0.063
SYNCOPE,22,IBk,none,SMOTE,none,0.000,0.000,0.658,-0.001,0.000,-0.002
SYNCOPE,22,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.358,-0.001,0.000,-0.001
SYNCOPE,22,NaiveBayes,none,none,SensitiveThreshold,0.009,0.750,0.870,0.017,0.019,0.080
SYNCOPE,22,IBk,none,none,SensitiveThreshold,0.000,0.000,0.660,-0.001,0.000,-0.002
SYNCOPE,23,RandomForest,none,none,none,0.000,0.000,0.631,-0.000,0.000,-0.000
SYNCOPE,23,NaiveBayes,none,none,none,0.014,0.429,0.831,0.025,0.027,0.072
SYNCOPE,23,IBk,none,none,none,0.000,0.000,0.552,-0.001,0.000,-0.001
