Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,15,RandomForest,none,none,SensitiveThreshold,0.351,0.643,0.936,0.446,0.454,0.468
SYNCOPE,15,NaiveBayes,none,none,SensitiveThreshold,0.085,0.429,0.870,0.126,0.142,0.173
SYNCOPE,15,IBk,none,none,SensitiveThreshold,0.358,0.690,0.846,0.464,0.472,0.490
SYNCOPE,16,RandomForest,none,none,none,0.818,0.225,0.832,0.350,0.353,0.427
SYNCOPE,16,NaiveBayes,none,none,none,0.051,0.225,0.759,0.067,0.083,0.088
SYNCOPE,16,IBk,none,none,none,0.625,0.250,0.793,0.353,0.357,0.392
SYNCOPE,16,RandomForest,BestFirst (backward),none,none,0.333,0.025,0.745,0.045,0.047,0.089
SYNCOPE,16,NaiveBayes,BestFirst (backward),none,none,0.031,0.075,0.751,0.030,0.043,0.033
SYNCOPE,16,IBk,BestFirst (backward),none,none,0.333,0.025,0.724,0.045,0.047,0.089
SYNCOPE,16,RandomForest,none,SMOTE,none,0.095,0.525,0.813,0.146,0.161,0.207
SYNCOPE,16,NaiveBayes,none,SMOTE,none,0.041,0.275,0.751,0.055,0.072,0.084
SYNCOPE,16,IBk,none,SMOTE,none,0.093,0.550,0.790,0.145,0.159,0.209
SYNCOPE,16,RandomForest,none,none,SensitiveThreshold,0.258,0.425,0.833,0.312,0.321,0.322
SYNCOPE,16,NaiveBayes,none,none,SensitiveThreshold,0.049,0.250,0.759,0.066,0.082,0.091
SYNCOPE,16,IBk,none,none,SensitiveThreshold,0.257,0.450,0.793,0.319,0.327,0.331
SYNCOPE,17,RandomForest,none,none,none,0.889,0.421,0.874,0.569,0.571,0.610
SYNCOPE,17,NaiveBayes,none,none,none,0.052,0.263,0.759,0.073,0.087,0.099
SYNCOPE,17,IBk,none,none,none,0.636,0.368,0.820,0.463,0.467,0.481
SYNCOPE,17,RandomForest,BestFirst (backward),none,none,0.000,0.000,0.711,-0.001,0.000,-0.002
SYNCOPE,17,NaiveBayes,BestFirst (backward),none,none,0.045,0.132,0.682,0.054,0.068,0.062
SYNCOPE,17,IBk,BestFirst (backward),none,none,0.000,0.000,0.711,-0.000,0.000,-0.002
SYNCOPE,17,RandomForest,none,SMOTE,none,0.106,0.553,0.819,0.164,0.177,0.226
SYNCOPE,17,NaiveBayes,none,SMOTE,none,0.046,0.316,0.742,0.065,0.080,0.099
SYNCOPE,17,IBk,none,SMOTE,none,0.102,0.553,0.782,0.159,0.173,0.223
SYNCOPE,17,RandomForest,none,none,SensitiveThreshold,0.328,0.500,0.856,0.389,0.396,0.398
SYNCOPE,17,NaiveBayes,none,none,SensitiveThreshold,0.050,0.289,0.759,0.071,0.086,0.101
SYNCOPE,17,IBk,none,none,SensitiveThreshold,0.300,0.474,0.820,0.360,0.367,0.370
SYNCOPE,18,RandomForest,none,none,none,0.611,0.355,0.837,0.446,0.449,0.463
SYNCOPE,18,NaiveBayes,none,none,none,0.042,0.258,0.810,0.060,0.072,0.087
SYNCOPE,18,IBk,none,none,none,0.684,0.419,0.829,0.517,0.520,0.533
SYNCOPE,18,RandomForest,BestFirst (backward),none,none,0.600,0.097,0.767,0.165,0.167,0.239
SYNCOPE,18,NaiveBayes,BestFirst (backward),none,none,0.053,0.194,0.740,0.072,0.083,0.088
SYNCOPE,18,IBk,BestFirst (backward),none,none,0.750,0.097,0.767,0.170,0.171,0.268
SYNCOPE,18,RandomForest,none,SMOTE,none,0.081,0.581,0.820,0.130,0.142,0.202
SYNCOPE,18,NaiveBayes,none,SMOTE,none,0.038,0.387,0.827,0.055,0.068,0.100
SYNCOPE,18,IBk,none,SMOTE,none,0.088,0.677,0.843,0.144,0.156,0.231
SYNCOPE,18,RandomForest,none,none,SensitiveThreshold,0.215,0.452,0.834,0.284,0.292,0.304
SYNCOPE,18,NaiveBayes,none,none,SensitiveThreshold,0.039,0.290,0.809,0.056,0.069,0.089
SYNCOPE,18,IBk,none,none,SensitiveThreshold,0.211,0.484,0.829,0.286,0.294,0.312
SYNCOPE,19,RandomForest,none,none,none,0.826,0.475,0.905,0.600,0.603,0.624
SYNCOPE,19,NaiveBayes,none,none,none,0.038,0.200,0.783,0.048,0.064,0.066
SYNCOPE,19,IBk,none,none,none,0.581,0.450,0.886,0.503,0.507,0.507
SYNCOPE,19,RandomForest,BestFirst (backward),none,none,0.800,0.100,0.751,0.176,0.178,0.281
SYNCOPE,19,NaiveBayes,BestFirst (backward),none,none,0.045,0.125,0.700,0.053,0.067,0.060
SYNCOPE,19,IBk,BestFirst (backward),none,none,0.800,0.100,0.752,0.176,0.178,0.281
SYNCOPE,19,RandomForest,none,SMOTE,none,0.123,0.700,0.864,0.196,0.210,0.279
SYNCOPE,19,NaiveBayes,none,SMOTE,none,0.042,0.300,0.802,0.057,0.073,0.089
SYNCOPE,19,IBk,none,SMOTE,none,0.117,0.700,0.883,0.186,0.200,0.271
SYNCOPE,19,RandomForest,none,none,SensitiveThreshold,0.333,0.650,0.884,0.433,0.441,0.458
SYNCOPE,19,NaiveBayes,none,none,SensitiveThreshold,0.034,0.200,0.783,0.042,0.058,0.060
SYNCOPE,19,IBk,none,none,SensitiveThreshold,0.292,0.650,0.886,0.395,0.403,0.428
